	genotype
AF196835_1999.7041_USA_NY_Bronx_-73.899889_40.799216	NY99
AF202541_1999.6548_USA_NY_Madison_-75.354501_42.860541	NY99
AF206518_1999.7014_USA_CT_Fairfield_-73.448574_41.059706	NY99
AF260967_1999_USA_NY_NewYork_-73.933266_40.84715	NY99
AF404753_2000_USA_MD_Baltimore_-76.559966_39.209675	NY99
AF404754_2000_USA_NJ_Bergen_-73.937065_40.92864	NY99
AF404755_2000_USA_NY_Oswego_-76.231987_43.410245	NY99
AF404756_2000_USA_NY_Rockland_-74.05963_41.260923	NY99
AF533540_2001.7041_USA_NY_Nassau_-73.452677_40.617391	NY99
AY289214_2002.6192_USA_TX_Jefferson_-94.252289_29.803449	NY99
AY646354_2002_USA_NY_Madison_-75.639468_43.043122	WN02
AY712947_2003.5_USA_TX_Harris_-95.073743_29.786333	WN02
AY712948_2003.5_USA_TX_Harris_-95.092_29.768473	WN02
AY795965_2002_USA_MI_Isabella_-84.987874_43.691302	WN02
DQ005530_2003_USA_UT_Sanpete_-111.517235_39.103395	WN02
DQ080051_2003_USA_AZ_Cochise_-109.485238_31.58172	SW03
DQ080052_2003_USA_AZ_Maricopa_-112.117994_33.911952	SW03
DQ080053_2003_USA_AZ_Apache_-109.918871_36.993263	SW03
DQ080054_2003_USA_CA_LosAngeles_-118.590483_33.037377	WN02
DQ080055_2003_USA_CA_Imperial_-115.868677_32.648527	WN02
DQ080056_2003_USA_CA_Imperial_-115.454106_33.026552	WN02
DQ080057_2003_USA_CA_LosAngeles_-118.160813_33.75395	WN02
DQ080058_2003_USA_CA_LosAngeles_-118.439357_33.377835	WN02
DQ080059_2003_USA_CA_Sacramento_-121.3246_38.286369	WN02
DQ080060_2004_Mexico_BajaCalifornia_unknown_-114.9399_30.2977	WN02
DQ080061_2004_USA_LA_Iberia_-91.954731_29.600254	WN02
DQ080062_2002_USA_LA_Iberia_-92.007856_29.563503	NY99
DQ080063_2003_Mexico_BajaCalifornia_BajaCalifornia_-114.9399_30.2977	SW03
DQ080064_2003_Mexico_BajaCalifornia_BajaCalifornia_-114.9399_30.2977	SW03
DQ080065_2003_Mexico_BajaCalifornia_BajaCalifornian_-114.9399_30.2977	SW03
DQ080066_2003_Mexico_BajaCalifornia_BajaCalifornia_-114.9399_30.2977	SW03
DQ080067_2003_Mexico_BajaCalifornia_BajaCalifornia_-114.9399_30.2977	SW03
DQ080068_2003_Mexico_BajaCalifornia_BajaCalifornia_-114.9399_30.2977	SW03
DQ080069_2003_Mexico_Tamaulipas_Tamaulipas_-98.6356_24.9314	SW03
DQ080070_2003_Mexico_Sopnora_Sopnora_-111.6824_29.3524	SW03
DQ080071_2002_USA_FL_Sumter_-82.012822_28.833579	NY99
DQ080072_2001_USA_FL_PalmBeach_-80.104774_26.95881	NY99
DQ164186_2002_USA_NY_Queens_-73.802069_40.625101	WN02
DQ164187_2002_USA_NY_Broome_-76.008926_42.101363	NY99
DQ164188_2003_USA_NY_Westchester_-73.684134_40.946696	NY99
DQ164189_2003_USA_NY_Albany_-74.038162_42.574855	WN02
DQ164190_2003_USA_NY_Suffolk_-73.237444_40.659007	WN02
DQ164191_2003_USA_NY_Chautauqua_-79.518432_42.100603	WN02
DQ164192_2003_USA_NY_Rockland_-74.15003_41.164978	NY99
DQ164193_2002_USA_NY_Clinton_-73.957786_44.888846	WN02
DQ164195_2002_USA_NY_Nassau_-73.430005_40.639663	WN02
DQ164196_2002_USA_GA_Wilkinson_-83.018445_32.742521	WN02
DQ164198_2002_USA_TX_Concho_-99.681413_31.402388	WN02
DQ164199_2003_USA_TX_Concho_-99.762639_31.508906	WN02
DQ164200_2002_USA_IN_Hendricks_-86.546572_39.907114	WN02
